country_code,year,country,population
120,2012,République démocratique populaire lao,6646
120,2013,République démocratique populaire lao,6770
56,2012,République dominicaine,10277
56,2013,République dominicaine,10404
116,2012,République populaire démocratique de Corée,24763
116,2013,République populaire démocratique de Corée,24895
215,2012,République-Unie de Tanzanie,47783
215,2013,République-Unie de Tanzanie,49253
183,2012,Roumanie,21755
183,2013,Roumanie,21699
229,2012,Royaume-Uni,63030
229,2013,Royaume-Uni,63384
184,2012,Rwanda,11458
184,2013,Rwanda,11777
189,2012,Sainte-Lucie,181
189,2013,Sainte-Lucie,182
188,2012,Saint-Kitts-et-Nevis,54
188,2013,Saint-Kitts-et-Nevis,54
191,2012,Saint-Vincent-et-les Grenadines,109
191,2013,Saint-Vincent-et-les Grenadines,109
244,2012,Samoa,189
244,2013,Samoa,190
193,2012,Sao Tomé-et-Principe,188
193,2013,Sao Tomé-et-Principe,193
195,2012,Sénégal,13726
195,2013,Sénégal,14133
272,2012,Serbie,9553
272,2013,Serbie,9511
197,2012,Sierra Leone,5979
197,2013,Sierra Leone,6092
199,2012,Slovaquie,5446
199,2013,Slovaquie,5450
198,2012,Slovénie,2068
198,2013,Slovénie,2072
276,2012,Soudan,37195
276,2013,Soudan,37964
38,2012,Sri Lanka,21098
38,2013,Sri Lanka,21273
210,2012,Suède,9511
210,2013,Suède,9571
211,2012,Suisse,7997
211,2013,Suisse,8078
207,2012,Suriname,535
207,2013,Suriname,539
209,2012,Eswatini,1231
209,2013,Eswatini,1250
208,2012,Tadjikistan,8009
208,2013,Tadjikistan,8208
39,2012,Tchad,12448
39,2013,Tchad,12825
167,2012,Tchéquie (la),10660
167,2013,Tchéquie (la),10702
216,2012,Thaïlande,66785
216,2013,Thaïlande,67011
176,2012,Timor-Leste,1114
176,2013,Timor-Leste,1133
217,2012,Togo,6643
217,2013,Togo,6817
220,2012,Trinité-et-Tobago,1337
220,2013,Trinité-et-Tobago,1341
222,2012,Tunisie,10875
222,2013,Tunisie,10997
213,2012,Turkménistan,5173
213,2013,Turkménistan,5240
223,2012,Turquie,73997
223,2013,Turquie,74933
230,2012,Ukraine,45530
230,2013,Ukraine,45239
234,2012,Uruguay,3395
234,2013,Uruguay,3407
155,2012,Vanuatu,247
155,2013,Vanuatu,253
236,2012,Venezuela (République bolivarienne du),29955
236,2013,Venezuela (République bolivarienne du),30405
237,2012,Viet Nam,90796
237,2013,Viet Nam,91680
249,2012,Yémen,23852
249,2013,Yémen,24407
251,2012,Zambie,14075
251,2013,Zambie,14539
181,2012,Zimbabwe,13724
181,2013,Zimbabwe,14150
351,2012,Chine,1408042
351,2013,Chine,1416667
